split,dataset,seed,source,operator,k,ordering,n,max_linf,mean_abs,pred_changes
k1,MHEALTH,0,,late_product,1,"[0, 2, 1]",1987,6.556510925292969e-07,1.136956359464357e-09,0
k1,MHEALTH,0,,late_product,1,"[1, 0, 2]",1987,0.0,0.0,0
k1,MHEALTH,0,,late_product,1,"[1, 2, 0]",1987,6.556510925292969e-07,1.1066953338722897e-09,0
k1,MHEALTH,0,,late_product,1,"[2, 0, 1]",1987,6.556510925292969e-07,1.136956359464357e-09,0
k1,MHEALTH,0,,late_product,1,"[2, 1, 0]",1987,6.556510925292969e-07,1.1066953338722897e-09,0
k1,MHEALTH,0,,late_mean,1,"[0, 2, 1]",1987,5.960464477539063e-08,1.4071471440928379e-09,0
k1,MHEALTH,0,,late_mean,1,"[1, 0, 2]",1987,1.1920928955078125e-07,1.0808480496941934e-09,0
k1,MHEALTH,0,,late_mean,1,"[1, 2, 0]",1987,5.960464477539063e-08,1.9674213425754053e-09,0
k1,MHEALTH,0,,late_mean,1,"[2, 0, 1]",1987,5.960464477539063e-08,1.9306226046962262e-09,0
k1,MHEALTH,0,,late_mean,1,"[2, 1, 0]",1987,1.1920928955078125e-07,2.049471825279337e-09,0
k1,MHEALTH,0,,cpsa,1,"[0, 2, 1]",1987,2.384185791015625e-07,3.133739268187074e-09,0
k1,MHEALTH,0,,cpsa,1,"[1, 0, 2]",1987,0.0,0.0,0
k1,MHEALTH,0,,cpsa,1,"[1, 2, 0]",1987,1.7881393432617188e-07,3.050909871037692e-09,0
k1,MHEALTH,0,,cpsa,1,"[2, 0, 1]",1987,2.384185791015625e-07,3.133739268187074e-09,0
k1,MHEALTH,0,,cpsa,1,"[2, 1, 0]",1987,1.7881393432617188e-07,3.050909871037692e-09,0
k1,MHEALTH,1,,late_product,1,"[0, 2, 1]",1987,5.364418029785156e-07,1.3415248462112243e-09,0
k1,MHEALTH,1,,late_product,1,"[1, 0, 2]",1987,0.0,0.0,0
k1,MHEALTH,1,,late_product,1,"[1, 2, 0]",1987,5.364418029785156e-07,1.1051698744709671e-09,0
k1,MHEALTH,1,,late_product,1,"[2, 0, 1]",1987,5.364418029785156e-07,1.3415248462112243e-09,0
k1,MHEALTH,1,,late_product,1,"[2, 1, 0]",1987,5.364418029785156e-07,1.1051698744709671e-09,0
k1,MHEALTH,1,,late_mean,1,"[0, 2, 1]",1987,5.960464477539063e-08,1.4431836964635958e-09,0
k1,MHEALTH,1,,late_mean,1,"[1, 0, 2]",1987,1.1920928955078125e-07,1.187518004759288e-09,0
k1,MHEALTH,1,,late_mean,1,"[1, 2, 0]",1987,5.960464477539063e-08,2.0806941733040083e-09,0
