dataset,seed,source,operator,k,mean_l1_ctrl_vs_clean,max_l1_ctrl_vs_clean,max_abs_ctrl_vs_clean,flip_rate,flip_count,n_test
MHEALTH,0,M1,late_product,1,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,2,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,3,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,5,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,8,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,16,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,32,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,64,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_product,100,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,1,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,2,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,3,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,5,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,8,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,16,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,32,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,64,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_product,100,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,1,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,2,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,3,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,5,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,8,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,16,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,32,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,64,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_product,100,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,1,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,2,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,3,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,5,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,8,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,16,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,32,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,64,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M1,late_mean,100,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,1,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,2,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,3,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,5,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,8,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,16,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,32,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,64,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M2,late_mean,100,0.0,0.0,0.0,0.0,0,1987
MHEALTH,0,M3,late_mean,1,0.0,0.0,0.0,0.0,0,1987
