dataset,seed,source,operator,k,reproduced_mean_l1,frozen_mean_l1,abs_discrepancy
MHEALTH,0,M1,late_product,2,0.0822332537418612,0.0822332575917244,3.849863192129099e-09
MHEALTH,0,M1,late_mean,2,0.11649451591359482,0.11649452149868011,5.585085297021841e-09
MHEALTH,0,M1,cpsa,2,0.16467449102518752,0.16467449069023132,3.349562016641272e-10
MHEALTH,0,M1,late_product,5,0.14967795240897064,0.14967794716358185,5.24538878998726e-09
MHEALTH,0,M1,late_mean,5,0.2662731789154729,0.2662732005119324,2.1596459454098493e-08
MHEALTH,0,M1,cpsa,5,0.32667981578024385,0.3266798257827759,1.0002532024877553e-08
MHEALTH,0,M1,late_product,16,0.21639180034872155,0.21639180183410645,1.4853848984142104e-09
MHEALTH,0,M1,late_mean,16,0.38831504872188727,0.3883150517940521,3.0721648558440506e-09
MHEALTH,0,M1,cpsa,16,0.40347919551142397,0.4034791886806488,6.830775167721015e-09
MHEALTH,0,M1,late_product,100,0.2743016297723244,0.2743016481399536,1.8367629195381596e-08
MHEALTH,0,M1,late_mean,100,0.4522727592439513,0.45227277278900146,1.3545050192576014e-08
MHEALTH,0,M1,cpsa,100,0.42715678668081003,0.4271567761898041,1.0491005952850685e-08
MHEALTH,0,M2,late_product,2,0.16967782504217802,0.16967782378196716,1.260210852338517e-09
MHEALTH,0,M2,late_mean,2,0.13358603448612746,0.13358603417873383,3.073936383213294e-10
MHEALTH,0,M2,cpsa,2,0.20529789328006964,0.20529788732528687,5.95478277798378e-09
MHEALTH,0,M2,late_product,5,0.3738383343333722,0.37383833527565,9.422778113332697e-10
MHEALTH,0,M2,late_mean,5,0.30533950677212873,0.305339515209198,8.437069265454511e-09
MHEALTH,0,M2,cpsa,5,0.4239226581834308,0.42392265796661377,2.168170087912813e-10
MHEALTH,0,M2,late_product,16,0.4553481926322588,0.4553481936454773,1.0132185090938606e-09
MHEALTH,0,M2,late_mean,16,0.44528679736526644,0.44528675079345703,4.6571809408924025e-08
MHEALTH,0,M2,cpsa,16,0.5159858635984788,0.5159858465194702,1.7079008540754614e-08
MHEALTH,0,M2,late_product,100,0.5225207908869611,0.5225207805633545,1.0323606636220006e-08
MHEALTH,0,M2,late_mean,100,0.5186282124811115,0.5186282396316528,2.715054137070183e-08
MHEALTH,0,M2,cpsa,100,0.5405890032270796,0.5405890345573425,3.13302629395551e-08
MHEALTH,0,M3,late_product,2,0.12291509466951617,0.12291509658098221,1.9114660410046724e-09
MHEALTH,0,M3,late_mean,2,0.14220430351285637,0.14220429956912994,3.943726428756733e-09
MHEALTH,0,M3,cpsa,2,0.20092707744213759,0.20092706382274628,1.3619391309172002e-08
MHEALTH,0,M3,late_product,5,0.2799284868978823,0.2799284756183624,1.1279519873674815e-08
MHEALTH,0,M3,late_mean,5,0.32503840827987,0.3250384032726288,5.007241232757309e-09
MHEALTH,0,M3,cpsa,5,0.42613176744979503,0.4261317551136017,1.2336193344619772e-08
MHEALTH,0,M3,late_product,16,0.43452623838814664,0.4345262050628662,3.332528042410132e-08
MHEALTH,0,M3,late_mean,16,0.47401435251804064,0.4740143418312073,1.068683336269416e-08
MHEALTH,0,M3,cpsa,16,0.5323656391075048,0.5323656797409058,4.0633400977263534e-08
MHEALTH,0,M3,late_product,100,0.5569626600849779,0.5569626092910767,5.079390119622218e-08
MHEALTH,0,M3,late_mean,100,0.5520873165599168,0.5520873665809631,5.002104630502657e-08
MHEALTH,0,M3,cpsa,100,0.5625053930682522,0.5625054240226746,3.0954422358675515e-08
MHEALTH,1,M1,late_product,2,0.11482395407772829,0.11482394486665726,9.211071030912343e-09
MHEALTH,1,M1,late_mean,2,0.1210343019617012,0.12103430181741714,1.4428405692434865e-10
MHEALTH,1,M1,cpsa,2,0.2086850555730644,0.20868505537509918,1.9796522754411683e-10
MHEALTH,1,M1,late_product,5,0.19295106027256384,0.19295106828212738,8.009563540190001e-09
MHEALTH,1,M1,late_mean,5,0.2766498338584541,0.2766498327255249,1.1329291949024878e-09
MHEALTH,1,M1,cpsa,5,0.39896593718995715,0.3989659249782562,1.2211700928244085e-08
MHEALTH,1,M1,late_product,16,0.2796367854124981,0.27963677048683167,1.492566642502524e-08
MHEALTH,1,M1,late_mean,16,0.4034476720272708,0.403447687625885,1.5598614233613972e-08
MHEALTH,1,M1,cpsa,16,0.47019878444819657,0.47019878029823303,4.149963539479273e-09
MHEALTH,1,M1,late_product,100,0.3540293228891324,0.3540292978286743,2.5060458097581062e-08
MHEALTH,1,M1,late_mean,100,0.4698978442426474,0.4698978364467621,7.795885326178364e-09
MHEALTH,1,M1,cpsa,100,0.48607781123977534,0.48607784509658813,3.3856812797772307e-08
MHEALTH,1,M2,late_product,2,0.21098528388778812,0.21098528802394867,4.136160552947743e-09
MHEALTH,1,M2,late_mean,2,0.144534291246279,0.14453428983688354,1.4093954614491366e-09
MHEALTH,1,M2,cpsa,2,0.24975450811949315,0.24975450336933136,4.750161791688967e-09
MHEALTH,1,M2,late_product,5,0.4107861174035642,0.41078609228134155,2.5122222635509672e-08
MHEALTH,1,M2,late_mean,5,0.3303640965729282,0.3303641080856323,1.1512704123362028e-08
MHEALTH,1,M2,cpsa,5,0.4977539955807174,0.4977540075778961,1.1997178694933552e-08
MHEALTH,1,M2,late_product,16,0.5819009299875445,0.5819008946418762,3.534566828111707e-08
MHEALTH,1,M2,late_mean,16,0.4817809681202862,0.4817809760570526,7.936766410754359e-09
MHEALTH,1,M2,cpsa,16,0.581941649156701,0.5819416046142578,4.454244317830813e-08
