dataset,seed,source,operator,eta,n_test,n_boundary_degenerate,frac_boundary_degenerate,mean_single_copy_l1,mean_maxdir_single_copy_l1,max_maxdir_single_copy_l1
MHEALTH,0,M1,late_product,0.01,1987,0,0.0,0.006964023046983874,0.009630569355821503,1.0400469455775376
MHEALTH,0,M1,late_mean,0.01,1987,0,0.0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176
MHEALTH,0,M1,cpsa,0.01,1987,0,0.0,0.0025381320996651323,0.002549835444990272,0.009102927727730803
MHEALTH,0,M1,late_product,0.05,1987,0,0.0,0.0114582954948002,0.015850789624328263,1.0400469455775376
MHEALTH,0,M1,late_mean,0.05,1987,0,0.0,0.007701143370973097,0.007701154457905724,0.016666725277900696
MHEALTH,0,M1,cpsa,0.05,1987,0,0.0,0.00883520051908122,0.009013258682991533,0.04492735736573053
MHEALTH,0,M2,late_product,0.01,1987,0,0.0,0.009494824238228037,0.012956858842561475,1.023322528258896
MHEALTH,0,M2,late_mean,0.01,1987,0,0.0,0.001674784123278417,0.0016747911691933853,0.0033333897590637207
MHEALTH,0,M2,cpsa,0.01,1987,0,0.0,0.0020321879497936196,0.0020408127237727183,0.009543673170645306
MHEALTH,0,M2,late_product,0.05,1987,0,0.0,0.013596570068566495,0.01898793330543798,1.042837867508931
MHEALTH,0,M2,late_mean,0.05,1987,0,0.0,0.006306059434694748,0.006306069334546418,0.01666674017906189
MHEALTH,0,M2,cpsa,0.05,1987,0,0.0,0.0069841572701254155,0.007110602143529604,0.044852294605303586
MHEALTH,0,M3,late_product,0.01,1987,0,0.0,0.007428048805418063,0.010092741653555923,1.0406261140455517
MHEALTH,0,M3,late_mean,0.01,1987,0,0.0,0.0021413571487607836,0.0021413632064731687,0.0033333897590637207
MHEALTH,0,M3,cpsa,0.01,1987,0,0.0,0.0024417173764352033,0.002451230754741081,0.0081242896940239
MHEALTH,0,M3,late_product,0.05,1987,0,0.0,0.012588565220674029,0.017515362453158607,1.0430663228060206
MHEALTH,0,M3,late_mean,0.05,1987,0,0.0,0.007751906617350659,0.007751916083257809,0.016666725277900696
MHEALTH,0,M3,cpsa,0.05,1987,0,0.0,0.00828314956151089,0.008427734042000087,0.0406311403895927
MHEALTH,1,M1,late_product,0.01,1987,0,0.0,0.012396823350481912,0.016766603099204826,0.9935310751170509
MHEALTH,1,M1,late_mean,0.01,1987,0,0.0,0.0021202382289383175,0.0021202456845223015,0.0033333897590637207
MHEALTH,1,M1,cpsa,0.01,1987,0,0.0,0.0025670132970930988,0.002581765189669701,0.010215846413004215
MHEALTH,1,M1,late_product,0.05,1987,0,0.0,0.021910501810740585,0.0314622735417356,1.03975985444853
MHEALTH,1,M1,late_mean,0.05,1987,0,0.0,0.007883877031362365,0.007883888718397226,0.01666674017906189
MHEALTH,1,M1,cpsa,0.05,1987,0,0.0,0.009095273701181617,0.009325745848924892,0.05061853815232098
MHEALTH,1,M2,late_product,0.01,1987,0,0.0,0.00903573325141076,0.012773653159968187,1.0389943371787247
MHEALTH,1,M2,late_mean,0.01,1987,0,0.0,0.0017041629843623236,0.0017041707894724471,0.0033333897590637207
MHEALTH,1,M2,cpsa,0.01,1987,0,0.0,0.002090823857893892,0.002101518098092726,0.01463353161170744
MHEALTH,1,M2,late_product,0.05,1987,0,0.0,0.014233375973388992,0.02025249669710971,1.0389943371787247
MHEALTH,1,M2,late_mean,0.05,1987,0,0.0,0.006569607465845186,0.006569618600722062,0.0166667178273201
MHEALTH,1,M2,cpsa,0.05,1987,0,0.0,0.007659595812179042,0.007852544291232376,0.07253727779593078
MHEALTH,1,M3,late_product,0.01,1987,0,0.0,0.0028963695532831873,0.003811532519799041,0.9468513323390585
MHEALTH,1,M3,late_mean,0.01,1987,0,0.0,0.002133633473518341,0.0021336398710857197,0.0033333897590637207
MHEALTH,1,M3,cpsa,0.01,1987,0,0.0,0.002632760710648447,0.0026427036765709106,0.009491145060998463
MHEALTH,1,M3,late_product,0.05,1987,0,0.0,0.006767663163508664,0.009465483695006376,0.9468513323390585
MHEALTH,1,M3,late_mean,0.05,1987,0,0.0,0.007746212987781185,0.007746223205896417,0.016666725277900696
MHEALTH,1,M3,cpsa,0.05,1987,0,0.0,0.009670409434344131,0.00984122333662566,0.04669649609843873
MHEALTH,2,M1,late_product,0.01,1987,0,0.0,0.004854869094665153,0.007488049889775455,1.0351967530326978
MHEALTH,2,M1,late_mean,0.01,1987,0,0.0,0.0021316622509569144,0.0021316693683161906,0.0033333897590637207
MHEALTH,2,M1,cpsa,0.01,1987,0,0.0,0.002548516769326667,0.0025607484943796052,0.010550453633186407
MHEALTH,2,M1,late_product,0.05,1987,0,0.0,0.009076762244434588,0.014039583597366767,1.0371402539889267
MHEALTH,2,M1,late_mean,0.05,1987,0,0.0,0.008044801078354102,0.008044812453741458,0.016666725277900696
MHEALTH,2,M1,cpsa,0.05,1987,0,0.0,0.00984133687126351,0.01002755113050009,0.05308468350705198
MHEALTH,2,M2,late_product,0.01,1987,0,0.0,0.0053652480283843985,0.007534825892185758,1.0317512083306728
MHEALTH,2,M2,late_mean,0.01,1987,0,0.0,0.0016675188916812304,0.0016675269891358443,0.0033333897590637207
MHEALTH,2,M2,cpsa,0.01,1987,0,0.0,0.0020782094731801514,0.002087022544841896,0.009036551578191165
MHEALTH,2,M2,late_product,0.05,1987,0,0.0,0.008415730134330902,0.011816850382901957,1.0429427673711076
MHEALTH,2,M2,late_mean,0.05,1987,0,0.0,0.00656924782567697,0.006569258948846065,0.016666725277900696
MHEALTH,2,M2,cpsa,0.05,1987,0,0.0,0.008329148500993516,0.00846821037613193,0.04531186768890905
MHEALTH,2,M3,late_product,0.01,1987,0,0.0,0.0039911927560346405,0.005137465210954836,1.0349251242392417
MHEALTH,2,M3,late_mean,0.01,1987,0,0.0,0.0021250363213879686,0.002125042031285363,0.0033333897590637207
MHEALTH,2,M3,cpsa,0.01,1987,0,0.0,0.002304009310723496,0.002314262712201038,0.009970799404564357
MHEALTH,2,M3,late_product,0.05,1987,0,0.0,0.007293694397673198,0.010020686931923909,1.0349251242392417
MHEALTH,2,M3,late_mean,0.05,1987,0,0.0,0.007921416066632693,0.007921425093121753,0.016666725277900696
MHEALTH,2,M3,cpsa,0.05,1987,0,0.0,0.008558311298547193,0.008705816257096455,0.05108739349616975
HAPT,0,M1,late_product,0.01,3162,0,0.0,0.005112399981320222,0.006140708953556791,1.0376926317757653
HAPT,0,M1,late_mean,0.01,3162,0,0.0,0.002644635115894064,0.002644652456775737,0.005000084638595581
HAPT,0,M1,cpsa,0.01,3162,0,0.0,0.0037694588021782,0.003779174327005184,0.015194732104536403
HAPT,0,M1,late_product,0.05,3162,0,0.0,0.015878059710536914,0.019463054442899114,1.0396580954427168
HAPT,0,M1,late_mean,0.05,3162,0,0.0,0.010084816664406233,0.010084833817645515,0.025000065565109253
HAPT,0,M1,cpsa,0.05,3162,0,0.0,0.014183816254709028,0.014372730822601926,0.07647649354936448
HAPT,0,M2,late_product,0.01,3162,0,0.0,0.002013516152558173,0.0023138328943701682,0.5655747887597277
HAPT,0,M2,late_mean,0.01,3162,0,0.0,0.004520848063114821,0.004520868291889857,0.005000084638595581
HAPT,0,M2,cpsa,0.01,3162,0,0.0,0.004288244905885126,0.004318635974799114,0.01880145509860876
HAPT,0,M2,late_product,0.05,3162,0,0.0,0.007636170370726582,0.008934623935047258,1.0331671648147167
HAPT,0,M2,late_mean,0.05,3162,0,0.0,0.01976009504880286,0.01976011504916529,0.025000065565109253
HAPT,0,M2,cpsa,0.05,3162,0,0.0,0.018315485212753696,0.018974237433903064,0.09432935444098095
HAPT,1,M1,late_product,0.01,3162,0,0.0,0.006004571597098086,0.0074017343813228414,1.0349032722071752
HAPT,1,M1,late_mean,0.01,3162,0,0.0,0.0026942015706943804,0.0026942199439043153,0.005000069737434387
HAPT,1,M1,cpsa,0.01,3162,0,0.0,0.003788515752735407,0.003805735631527222,0.021705806695666144
HAPT,1,M1,late_product,0.05,3162,0,0.0,0.01619977290339381,0.019551928207062752,1.043586368565381
HAPT,1,M1,late_mean,0.05,3162,0,0.0,0.010343881730964332,0.010343899642967835,0.025000065565109253
HAPT,1,M1,cpsa,0.05,3162,0,0.0,0.013923418585287464,0.014249638929647509,0.10861301662779915
HAPT,1,M2,late_product,0.01,3162,0,0.0,0.002699814633007686,0.00321399031507213,1.0387179911937903
HAPT,1,M2,late_mean,0.01,3162,0,0.0,0.0045027548426588215,0.004502775920658748,0.005000069737434387
HAPT,1,M2,cpsa,0.01,3162,0,0.0,0.004370274429845395,0.00440365172059206,0.021780576945929386
HAPT,1,M2,late_product,0.05,3162,0,0.0,0.009782341300565609,0.011573849058648954,1.0387179911937903
HAPT,1,M2,late_mean,0.05,3162,0,0.0,0.019584827919369625,0.01958484844821193,0.025000065565109253
HAPT,1,M2,cpsa,0.05,3162,0,0.0,0.01838328498492663,0.0190144176375009,0.1103574860905685
HAPT,2,M1,late_product,0.01,3162,0,0.0,0.006316215013669843,0.007563857694408724,0.9843240900592751
