seed,object,class,support,recall,precision,f1
0,M1,0,496,0.9536290322580645,0.88576779026217234,0.91844660194174765
0,M1,1,471,0.89384288747346075,0.89006342494714585,0.89194915254237284
0,M1,2,420,0.88571428571428568,0.96623376623376622,0.92422360248447211
0,M1,3,508,0.72637795275590555,0.85614849187935038,0.78594249201277966
0,M1,4,556,0.89028776978417268,0.75457317073170727,0.81683168316831689
0,M1,5,545,0.95045871559633033,0.9980732177263969,0.97368421052631593
0,M1,6,23,0.86956521739130432,0.58823529411764708,0.70175438596491235
0,M1,7,10,0.69999999999999996,0.77777777777777779,0.73684210526315774
0,M1,8,32,0.6875,0.66666666666666663,0.67692307692307696
0,M1,9,25,0.88,0.5,0.63768115942028991
0,M1,10,49,0.51020408163265307,0.625,0.5617977528089888
0,M1,11,27,0.07407407407407407,0.5,0.12903225806451613
0,M2,0,496,0.81048387096774188,0.84810126582278478,0.82886597938144335
0,M2,1,471,0.87261146496815289,0.9362186788154897,0.9032967032967032
0,M2,2,420,0.84523809523809523,0.74112734864300622,0.78976640711902113
0,M2,3,508,0.70669291338582674,0.71513944223107573,0.71089108910891097
0,M2,4,556,0.7769784172661871,0.8089887640449438,0.79266055045871564
0,M2,5,545,0.73211009174311925,0.69633507853403143,0.71377459749552785
0,M2,6,23,0.43478260869565216,0.5,0.46511627906976744
0,M2,7,10,0.5,1,0.66666666666666663
0,M2,8,32,0.5,0.55172413793103448,0.52459016393442626
0,M2,9,25,0.47999999999999998,0.47999999999999998,0.47999999999999998
0,M2,10,49,0.65306122448979587,0.56140350877192979,0.60377358490566047
0,M2,11,27,0.44444444444444442,0.47999999999999998,0.46153846153846151
0,late_product,0,496,0.97580645161290325,0.96993987975951901,0.97286432160804026
0,late_product,1,471,0.97664543524416136,0.92929292929292928,0.95238095238095244
0,late_product,2,420,0.94523809523809521,0.98024691358024696,0.9624242424242424
0,late_product,3,508,0.85236220472440949,0.92918454935622319,0.88911704312114992
0,late_product,4,556,0.94424460431654678,0.86065573770491799,0.90051457975986271
0,late_product,5,545,0.97431192660550459,0.99812030075187974,0.98607242339832857
0,late_product,6,23,0.78260869565217395,0.71999999999999997,0.74999999999999989
0,late_product,7,10,0.59999999999999998,1,0.74999999999999989
0,late_product,8,32,0.71875,0.67647058823529416,0.69696969696969702
0,late_product,9,25,0.80000000000000004,0.55555555555555558,0.65573770491803285
0,late_product,10,49,0.65306122448979587,0.7441860465116279,0.69565217391304346
0,late_product,11,27,0.22222222222222221,0.54545454545454541,0.31578947368421051
0,late_mean,0,496,0.97177419354838712,0.92514395393474091,0.94788593903638152
0,late_mean,1,471,0.93842887473460723,0.9285714285714286,0.93347412882787761
0,late_mean,2,420,0.94047619047619047,0.9777227722772277,0.95873786407766992
0,late_mean,3,508,0.81692913385826771,0.91611479028697573,0.8636836628511968
0,late_mean,4,556,0.92446043165467628,0.82903225806451608,0.87414965986394544
0,late_mean,5,545,0.96146788990825693,0.98311444652908064,0.9721706864564007
0,late_mean,6,23,0.78260869565217395,0.78260869565217395,0.78260869565217395
0,late_mean,7,10,0.69999999999999996,0.875,0.77777777777777768
0,late_mean,8,32,0.6875,0.6875,0.6875
0,late_mean,9,25,0.83999999999999997,0.53846153846153844,0.65624999999999989
0,late_mean,10,49,0.59183673469387754,0.64444444444444449,0.61702127659574468
0,late_mean,11,27,0.18518518518518517,0.625,0.2857142857142857
0,cpsa,0,496,0.967741935483871,0.91603053435114501,0.94117647058823528
0,cpsa,1,471,0.97664543524416136,0.90019569471624261,0.93686354378818737
0,cpsa,2,420,0.85952380952380958,0.989041095890411,0.91974522292993632
0,cpsa,3,508,0.84842519685039375,0.85685884691848901,0.85262116716122649
0,cpsa,4,556,0.89388489208633093,0.84667802385008517,0.86964129483814523
0,cpsa,5,545,0.94128440366972477,0.99034749034749037,0.96519285042333014
0,cpsa,6,23,0.78260869565217395,0.78260869565217395,0.78260869565217395
0,cpsa,7,10,0.69999999999999996,0.875,0.77777777777777768
0,cpsa,8,32,0.6875,0.6875,0.6875
0,cpsa,9,25,0.83999999999999997,0.55263157894736847,0.66666666666666674
0,cpsa,10,49,0.59183673469387754,0.64444444444444449,0.61702127659574468
0,cpsa,11,27,0.18518518518518517,0.625,0.2857142857142857
1,M1,0,496,0.97782258064516125,0.86917562724014341,0.92030360531309297
1,M1,1,471,0.87898089171974525,0.9241071428571429,0.90097932535364522
1,M1,2,420,0.919047619047619,0.98721227621483376,0.95191122071516643
1,M1,3,508,0.71259842519685035,0.86190476190476195,0.78017241379310331
1,M1,4,556,0.89568345323741005,0.75226586102719029,0.81773399014778325
1,M1,5,545,0.95412844036697253,0.99808061420345484,0.97560975609756095
1,M1,6,23,0.78260869565217395,0.58064516129032262,0.66666666666666674
1,M1,7,10,0.90000000000000002,0.6428571428571429,0.75
1,M1,8,32,0.625,0.58823529411764708,0.60606060606060608
1,M1,9,25,0.47999999999999998,0.54545454545454541,0.51063829787234039
1,M1,10,49,0.44897959183673469,0.6470588235294118,0.53012048192771088
1,M1,11,27,0.51851851851851849,0.51851851851851849,0.51851851851851849
1,M2,0,496,0.79032258064516125,0.88089887640449438,0.83315621679064822
1,M2,1,471,0.90658174097664546,0.90274841437632136,0.90466101694915257
