seed,source,k,max_abs_residual,max_vector_residual,mean_abs_residual
0,M1,1,0,2.9802322387695312e-08,0
0,M1,2,2.384185791015625e-07,5.9604644775390625e-08,2.9503713250278452e-08
0,M1,3,1.1920928955078125e-07,5.9604644775390625e-08,2.060412640503273e-08
0,M1,5,1.1920928955078125e-07,7.4505805969238281e-08,2.9938828305375864e-08
0,M1,8,1.4901161193847656e-07,1.1920928955078125e-07,4.1366281067212185e-08
0,M1,16,2.4586915969848633e-07,2.384185791015625e-07,1.002282417061906e-07
0,M1,32,4.7893263399600983e-07,4.76837158203125e-07,2.2088914874984766e-07
0,M1,64,9.5367431640625e-07,9.5367431640625e-07,4.0125448208527814e-07
0,M1,100,1.4870311133563519e-06,1.4877587091177702e-06,6.4201697114185663e-07
0,M2,1,0,2.9802322387695312e-08,0
0,M2,2,1.7881393432617188e-07,5.9604644775390625e-08,2.7977270278256583e-08
0,M2,3,8.9406967163085938e-08,5.9604644775390625e-08,2.1907673897203495e-08
0,M2,5,1.1920928955078125e-07,7.4505805969238281e-08,2.6823135712561452e-08
0,M2,8,1.4901161193847656e-07,1.2665987014770508e-07,3.6962266136697508e-08
0,M2,16,2.4586915969848633e-07,2.384185791015625e-07,8.4250281418007944e-08
0,M2,32,4.7998037189245224e-07,4.76837158203125e-07,1.7849738753739075e-07
0,M2,64,9.5305586000904441e-07,9.5367431640625e-07,3.6524966162687633e-07
0,M2,100,1.4901743270456791e-06,1.4901161193847656e-06,5.6510077683924465e-07
1,M1,1,0,2.9802322387695312e-08,0
1,M1,2,2.384185791015625e-07,5.9604644775390625e-08,2.9106113075272333e-08
1,M1,3,1.1920928955078125e-07,5.9604644775390625e-08,2.0285424895405413e-08
1,M1,5,1.3411045074462891e-07,7.4505805969238281e-08,2.9629974918066182e-08
1,M1,8,1.4901161193847656e-07,1.2665987014770508e-07,4.0731340078536959e-08
1,M1,16,2.4586915969848633e-07,2.384185791015625e-07,1.0086754542726339e-07
1,M1,32,4.7869980335235596e-07,4.76837158203125e-07,2.1617603351842263e-07
1,M1,64,9.5367431640625e-07,9.5367431640625e-07,4.1283942664449569e-07
1,M1,100,1.4897668734192848e-06,1.4895194908604026e-06,6.3613634893044946e-07
1,M2,1,0,2.9802322387695312e-08,0
1,M2,2,1.7881393432617188e-07,4.4703483581542969e-08,2.903900764295031e-08
1,M2,3,8.9406967163085938e-08,5.9604644775390625e-08,2.1724421372937286e-08
1,M2,5,1.1920928955078125e-07,7.4505805969238281e-08,2.6610202041865705e-08
1,M2,8,1.3411045074462891e-07,1.1920928955078125e-07,3.7321832735415228e-08
1,M2,16,2.4220207706093788e-07,2.384185791015625e-07,8.8301462142226228e-08
1,M2,32,4.8012589104473591e-07,4.76837158203125e-07,1.7828003251452174e-07
1,M2,64,9.5181167125701904e-07,9.5181167125701904e-07,3.675112907330913e-07
1,M2,100,1.461492502130568e-06,1.4600191207136959e-06,5.7624828286861884e-07
2,M1,1,0,2.9802322387695312e-08,0
2,M1,2,1.7881393432617188e-07,5.9604644775390625e-08,3.0090312463926239e-08
2,M1,3,8.9406967163085938e-08,5.9604644775390625e-08,2.0640390729909086e-08
2,M1,5,1.4901161193847656e-07,7.4505805969238281e-08,2.9484260366530179e-08
2,M1,8,1.6391277313232422e-07,1.2665987014770508e-07,4.2464126437380401e-08
2,M1,16,2.5331974029541016e-07,2.384185791015625e-07,1.0106538184118108e-07
2,M1,32,4.7963112592697144e-07,4.76837158203125e-07,2.1312055764610705e-07
2,M1,64,9.5367431640625e-07,9.5181167125701904e-07,4.1848187493087607e-07
2,M1,100,1.4896504580974579e-06,1.4889519661664963e-06,6.4458572524017654e-07
2,M2,1,0,2.9802322387695312e-08,0
2,M2,2,1.7881393432617188e-07,5.2154064178466797e-08,2.9183775396290912e-08
2,M2,3,8.9406967163085938e-08,5.9604644775390625e-08,2.1384057191653483e-08
2,M2,5,1.1920928955078125e-07,7.4505805969238281e-08,2.7361432231032268e-08
2,M2,8,1.3411045074462891e-07,1.1920928955078125e-07,3.6407019621265135e-08
2,M2,16,2.4121254682540894e-07,2.384185791015625e-07,8.5391882009844267e-08
2,M2,32,4.7576031647622585e-07,4.76837158203125e-07,1.7460804713209654e-07
2,M2,64,9.5184077508747578e-07,9.5275754574686289e-07,3.6391901403476368e-07
2,M2,100,1.4782854123041034e-06,1.483625965192914e-06,5.7207654435842414e-07
