seed,source,k,operator,class,support,recall,d_recall,prediction_flip_rate,mean_l1_to_k1
0,M1,1,late_product,0,496,0.97580645161290325,0,0,0
0,M1,1,late_product,1,471,0.97664543524416136,0,0,0
0,M1,1,late_product,2,420,0.94523809523809521,0,0,0
0,M1,1,late_product,3,508,0.85236220472440949,0,0,0
0,M1,1,late_product,4,556,0.94424460431654678,0,0,0
0,M1,1,late_product,5,545,0.97431192660550459,0,0,0
0,M1,1,late_product,6,23,0.78260869565217395,0,0,0
0,M1,1,late_product,7,10,0.59999999999999998,0,0,0
0,M1,1,late_product,8,32,0.71875,0,0,0
0,M1,1,late_product,9,25,0.80000000000000004,0,0,0
0,M1,1,late_product,10,49,0.65306122448979587,0,0,0
0,M1,1,late_product,11,27,0.22222222222222221,0,0,0
0,M1,5,late_product,0,496,0.95967741935483875,-0.016129032258064502,0.032258064516129031,0.066499076783657074
0,M1,5,late_product,1,471,0.91719745222929938,-0.059447983014861983,0.074309978768577492,0.15498244762420654
0,M1,5,late_product,2,420,0.91666666666666663,-0.028571428571428581,0.035714285714285712,0.079314097762107849
0,M1,5,late_product,3,508,0.75787401574803148,-0.094488188976378007,0.13582677165354332,0.27181628346443176
0,M1,5,late_product,4,556,0.90647482014388492,-0.037769784172661858,0.057553956834532377,0.12472542375326157
0,M1,5,late_product,5,545,0.95779816513761473,-0.016513761467889854,0.016513761467889909,0.040261145681142807
0,M1,5,late_product,6,23,0.78260869565217395,0,0,0.13716742396354675
0,M1,5,late_product,7,10,0.69999999999999996,0.099999999999999978,0.20000000000000001,0.41863670945167542
0,M1,5,late_product,8,32,0.6875,-0.03125,0.03125,0.30735987424850464
0,M1,5,late_product,9,25,0.83999999999999997,0.039999999999999925,0.16,0.4832959771156311
0,M1,5,late_product,10,49,0.53061224489795922,-0.12244897959183665,0.16326530612244897,0.42019915580749512
0,M1,5,late_product,11,27,0.037037037037037035,-0.18518518518518517,0.29629629629629628,0.64342880249023438
0,M1,100,late_product,0,496,0.9536290322580645,-0.022177419354838745,0.042338709677419352,0.084320627152919769
0,M1,100,late_product,1,471,0.89384288747346075,-0.082802547770700619,0.097664543524416142,0.19731457531452179
0,M1,100,late_product,2,420,0.89047619047619042,-0.054761904761904789,0.066666666666666666,0.13961860537528992
0,M1,100,late_product,3,508,0.72834645669291342,-0.12401574803149606,0.17913385826771652,0.37057825922966003
0,M1,100,late_product,4,556,0.89028776978417268,-0.053956834532374098,0.077338129496402883,0.17285369336605072
0,M1,100,late_product,5,545,0.95229357798165137,-0.022018348623853212,0.025688073394495414,0.055701427161693573
0,M1,100,late_product,6,23,0.86956521739130432,0.086956521739130377,0.086956521739130432,0.27523913979530334
0,M1,100,late_product,7,10,0.69999999999999996,0.099999999999999978,0.20000000000000001,0.42496806383132935
0,M1,100,late_product,8,32,0.6875,-0.03125,0.125,0.50612276792526245
0,M1,100,late_product,9,25,0.88,0.07999999999999996,0.20000000000000001,0.59813112020492554
0,M1,100,late_product,10,49,0.53061224489795922,-0.12244897959183665,0.16326530612244897,0.47741559147834778
