seed,source,k,operator,subject,n,accuracy,nll,brier,confidence,prediction_flip_rate,mean_l1_to_k1
0,M1,1,late_product,8,654,0.65443425076452599,3.2893681526184082,0.62416386604309082,0.95034456253051758,0,0
0,M1,1,late_product,9,671,0.99552906110283157,0.011636955663561821,0.0072022848762571812,0.99554252624511719,0,0
0,M1,1,late_product,10,662,0.97432024169184295,0.088893495500087738,0.044376399368047714,0.98867207765579224,0,0
0,M1,2,late_product,8,654,0.64984709480122327,5.4708032608032227,0.65837860107421875,0.96787220239639282,0.045871559633027525,0.10326805710792542
0,M1,2,late_product,9,671,0.99552906110283157,0.013742614537477493,0.0068440204486250877,0.99715733528137207,0,0.004111842717975378
0,M1,2,late_product,10,662,0.90181268882175225,0.56614434719085693,0.17748609185218811,0.98901772499084473,0.075528700906344406,0.1406361311674118
0,M1,3,late_product,8,654,0.64220183486238536,6.3371281623840332,0.68297123908996582,0.97779524326324463,0.070336391437308868,0.15877017378807068
0,M1,3,late_product,9,671,0.99701937406855434,0.017669126391410828,0.0065876157023012638,0.99765175580978394,0.0014903129657228018,0.0055384943261742592
0,M1,3,late_product,10,662,0.88519637462235645,1.3123189210891724,0.22176815569400787,0.9954979419708252,0.092145015105740177,0.17622193694114685
0,M1,5,late_product,8,654,0.61467889908256879,7.9552273750305176,0.75703209638595581,0.98439210653305054,0.11467889908256881,0.25140106678009033
0,M1,5,late_product,9,671,0.99701937406855434,0.026578083634376526,0.006147902924567461,0.99829757213592529,0.0014903129657228018,0.0071465154178440571
0,M1,5,late_product,10,662,0.8761329305135952,2.6248607635498047,0.2430008202791214,0.99820065498352051,0.10120845921450151,0.19365330040454865
0,M1,8,late_product,8,654,0.55963302752293576,9.8625392913818359,0.86577510833740234,0.99003559350967407,0.15443425076452599,0.32884061336517334
0,M1,8,late_product,9,671,0.99552906110283157,0.05131322517991066,0.010140225291252136,0.99734526872634888,0.0029806259314456036,0.014016113243997097
0,M1,8,late_product,10,662,0.86706948640483383,3.158109188079834,0.25878480076789856,0.99618327617645264,0.11027190332326284,0.21199347078800201
0,M1,16,late_product,8,654,0.53669724770642202,11.775053024291992,0.9206356406211853,0.99449318647384644,0.18195718654434251,0.38277027010917664
0,M1,16,late_product,9,671,0.98658718330849482,0.20679792761802673,0.024103451520204544,0.99719095230102539,0.011922503725782414,0.029800411313772202
0,M1,16,late_product,10,662,0.8534743202416919,3.6451928615570068,0.29038441181182861,0.99802625179290771,0.12386706948640483,0.24115206301212311
0,M1,32,late_product,8,654,0.52752293577981646,12.655975341796875,0.94429832696914673,0.99660909175872803,0.19113149847094801,0.40552428364753723
