arm,seed,rule,k,reliability,n_tokens,accuracy,confidence,ece,nll,brier,entropy,conf_acc_gap,n
A,0,late_product,1,clean,3,0.8761952692501258,0.978377103805542,0.10218185096394197,1.1162067651748657,0.22265377640724182,0.05402576923370361,0.10218183455541618,1987.0
A,0,cpsa,1,clean,3,0.8782083543029693,0.7945723533630371,0.10837595490996539,0.4643822908401489,0.21768373250961304,0.5036197304725647,-0.08363600093993218,1987.0
B,0,late_product,5,clean,7,0.8309008555611475,0.9936884045600891,0.16450889310347233,3.5018670558929443,0.3322047293186188,0.016654327511787415,0.16278754899894166,1987.0
B,0,cpsa,5,clean,7,0.7790639154504277,0.8693971633911133,0.16406416167070592,0.7518134117126465,0.3806294798851013,0.35393407940864563,0.09033324794068553,1987.0
C,0,late_product,1,hard_stuck_trainref,3,0.6678409662808253,0.9562907814979553,0.2884498179618834,2.981703281402588,0.5975381135940552,0.11428727954626083,0.28844981521713,1987.0
C,0,cpsa,1,hard_stuck_trainref,3,0.7443381982888777,0.715195894241333,0.11050504297543004,0.7484011054039001,0.380597859621048,0.7111602425575256,-0.029142304047544698,1987.0
D,0,late_product,5,hard_stuck_trainref,7,0.16205334675390035,0.9731419682502747,0.8110886367050079,21.402620315551758,1.635473608970642,0.06093333289027214,0.8110886214963743,1987.0
D,0,cpsa,5,hard_stuck_trainref,7,0.09159536990437846,0.8219203352928162,0.7303249550093701,2.0956807136535645,1.2855194807052612,0.5410795211791992,0.7303249653884377,1987.0
E,0,late_product,0,dropped,2,0.8268746854554605,0.9506626725196838,0.12378800584253619,0.7303304076194763,0.2753427028656006,0.1204565018415451,0.12378798706422334,1987.0
E,0,cpsa,0,dropped,2,0.8535480624056366,0.8061283826828003,0.10516267718684452,0.47358664870262146,0.23658767342567444,0.44106578826904297,-0.04741967972283634,1987.0
A,1,late_product,1,clean,3,0.8968293910417715,0.9692427515983582,0.07381922117597087,1.0164449214935303,0.17675670981407166,0.06339968740940094,0.07241336055658665,1987.0
A,1,cpsa,1,clean,3,0.7805737292400604,0.7815080285072327,0.08463518592239803,0.5260748863220215,0.2780533730983734,0.511926531791687,0.0009342992671722561,1987.0
B,1,late_product,5,clean,7,0.8379466532460996,0.9883230328559875,0.1575848253815991,3.3457207679748535,0.31959831714630127,0.024375885725021362,0.15037637960988792,1987.0
B,1,cpsa,5,clean,7,0.7559134373427278,0.8722741603851318,0.12693138805297255,0.8662022352218628,0.39787912368774414,0.34204423427581787,0.11636072304240408,1987.0
C,1,late_product,1,hard_stuck_trainref,3,0.7005535983895319,0.9253622889518738,0.22536987223754767,2.4206154346466064,0.5278217792510986,0.1670517772436142,0.22480869056234187,1987.0
C,1,cpsa,1,hard_stuck_trainref,3,0.6411675893306492,0.7055924534797668,0.20896373313458408,0.967993974685669,0.4951505959033966,0.724289059638977,0.06442486414911763,1987.0
D,1,late_product,5,hard_stuck_trainref,7,0.1716155007549069,0.9691108465194702,0.7974953362554178,20.96170425415039,1.6106460094451904,0.07968005537986755,0.7974953457645633,1987.0
D,1,cpsa,5,hard_stuck_trainref,7,0.09159536990437846,0.9352882504463196,0.8436928602337657,3.362344980239868,1.6349200010299683,0.28346017003059387,0.8436928805419411,1987.0
E,1,late_product,0,dropped,2,0.8595873175641671,0.9716684222221375,0.11489616470176127,0.6448432207107544,0.2513405382633209,0.08128955960273743,0.11208110465797039,1987.0
E,1,cpsa,0,dropped,2,0.6869652742828385,0.8132224678993225,0.1378233212664551,0.6646130681037903,0.3825811445713043,0.4392054080963135,0.12625719361648402,1987.0
A,2,late_product,1,clean,3,0.9068948163059889,0.984604001045227,0.08103869758662596,0.993664026260376,0.17868775129318237,0.04346023127436638,0.07770918473923816,1987.0
A,2,cpsa,1,clean,3,0.8459989934574735,0.8012821674346924,0.05610995827815494,0.47982874512672424,0.23200847208499908,0.4900752007961273,-0.04471682602278115,1987.0
B,2,late_product,5,clean,7,0.8399597382989431,0.9956936836242676,0.15573386772229678,3.464202404022217,0.31414151191711426,0.010359210893511772,0.15573394532532447,1987.0
B,2,cpsa,5,clean,7,0.7710115752390538,0.8783818483352661,0.1518105027150076,0.7943692803382874,0.3875395357608795,0.3332540988922119,0.10737027309621228,1987.0
C,2,late_product,1,hard_stuck_trainref,3,0.7700050327126321,0.9514077305793762,0.1821448134308073,1.9729808568954468,0.41745725274086,0.11469583958387375,0.18140269786674412,1987.0
C,2,cpsa,1,hard_stuck_trainref,3,0.6874685455460493,0.7337839007377625,0.15610602432810367,0.6968331336975098,0.3522087037563324,0.6718181371688843,0.04631535519171315,1987.0
D,2,late_product,5,hard_stuck_trainref,7,0.1716155007549069,0.977408766746521,0.8057932999785605,20.353254318237305,1.6287509202957153,0.06190621107816696,0.805793265991614,1987.0
D,2,cpsa,5,hard_stuck_trainref,7,0.09159536990437846,0.8737099170684814,0.7821145939898958,2.405987501144409,1.4338854551315308,0.4479283094406128,0.782114547164103,1987.0
E,2,late_product,0,dropped,2,0.8379466532460996,0.9684675335884094,0.1329344127216589,0.6740245819091797,0.28300943970680237,0.08331044018268585,0.1305208803423098,1987.0
E,2,cpsa,0,dropped,2,0.7372924006039255,0.8022958636283875,0.09281600168078881,0.5622892379760742,0.28796619176864624,0.4467024505138397,0.06500346302446192,1987.0
